City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
615,Nakhon Phanom,TH,77.72,scattered clouds,17.3333,104.4167,ป่ายางรีสอร์ท
616,Asfi,MA,62.44,overcast clouds,32.2994,-9.2372,Hôtel Abda
617,Eirunepe,BR,75.06,overcast clouds,-6.6603,-69.8736,Atrás de você
618,Ibra,OM,75.96,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
619,Zwedru,LR,74.61,moderate rain,6.0667,-8.1281,Elijah Worjloh
620,Kasongo-Lunda,CD,67.08,light rain,-6.4667,16.8167,
628,Santa Maria,BR,69.8,clear sky,-29.6842,-53.8069,Hotel Morotin
630,Russell,US,68.0,clear sky,32.3502,-85.1999,Macs
634,Dicabisagan,PH,77.2,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
635,Jalu,LY,73.2,overcast clouds,29.0331,21.5482,صاحبة الفخامة
644,Malanje,AO,63.64,light rain,-9.5402,16.340999999999998,Malanje Hotel
645,Sainte-Suzanne,RE,77.0,moderate rain,-20.9061,55.6089,Gites Ango
646,Myitkyina,MM,71.37,clear sky,25.3833,97.4,Shwe Phyu Hotel
648,Waipawa,NZ,64.4,scattered clouds,-41.4122,175.5153,Tora Coastal Walk
650,Durango,MX,77.13,overcast clouds,24.8333,-104.8333,
656,Bukoba,TZ,64.18,light rain,-1.3317,31.8122,Elct Bukoba Hotel and Tours
658,Altamira,BR,73.54,overcast clouds,-3.2033,-52.2064,Requinte Hotel
660,Parangan,PH,79.9,few clouds,5.0839,119.9383,
661,Soyo,AO,79.43,light rain,-6.1349,12.3689,Hotel Mpampa
662,Mangrol,IN,78.98,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
669,Barranca,PE,68.79,few clouds,-10.75,-77.7667,El Olivar Hospedaje
671,Ashqelon,IL,62.01,scattered clouds,31.6693,34.5715,Leonardo Ashkelon
675,Mahajanga,MG,78.8,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
680,Gulu,UG,64.69,light rain,2.7746,32.299,ACHOLI INN
681,Boyolangu,ID,72.01,scattered clouds,-8.1181,111.8935,Yos ega cv
682,Curup,ID,65.39,overcast clouds,-3.4667,102.5333,Ayi The Costel
687,Ipixuna,BR,75.2,moderate rain,-1.7625,-48.8043,Casa da Oscarina
691,Itarema,BR,78.3,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
692,Coos Bay,US,64.0,few clouds,43.3665,-124.2179,Best Western Holiday Hotel
696,Camacha,PT,68.0,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
698,Navirai,BR,70.36,clear sky,-23.065,-54.1906,Dubai Hotel - Também sua casa!
701,Ballina,AU,61.0,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
704,Wilmington Island,US,60.8,clear sky,32.0036,-80.9737,Breezeway Studio Manor LLC
707,Bardiyah,LY,61.45,broken clouds,31.7561,25.0865,بورتو بردية
